"","seq","vname","vdesc","vtype","vrule","sector","var7","stoch","var8","var9","decomp"
"QECO",258,"QECO","Desired level of consumption of nondurable goods and nonhousing services","I","A","sector_a.6","4","NO",0,1,25
"QEH",259,"QEH","Target level of residential investment","I","A","sector_a.8","4","NO",0,1,25
"QEPD",260,"QEPD","Desired level of investment in equipment","I","A","sector_b.6","4","NO",1,0,25
"QEPI",261,"QEPI","Desired level of investment in intellectual property","I","A","sector_b.8","4","NO",1,0,25
"QEPS",262,"QEPS","Desired level of investment in structures","I","A","sector_b.7","4","NO",1,0,25
"QKIR",263,"QKIR","Desired Inventory Sales Ratio","B","A","sector_b.9","4","NO",1,0,7
"QLEOR",264,"QLEOR","Desired ratio of employment discrepancy to the labor force","X.2","","","4","NO",0,0,18
"QLEP",265,"QLEP","Desired level of  business employment","I","A","sector_e.17","4","NO",0,4,25
"QLF",266,"QLF","Desired level of civilian labor force","I","A","sector_e.18","4","NO",0,4,25
"QLFPR",267,"QLFPR","Trend labor force participation rate","I","A","sector_e.12","1","NO",0,0,18
"QLHP",268,"QLHP","Desired level of  business labor hours","I","A","sector_e.2","4","NO",0,1,25
"QLWW",269,"QLWW","Trend workweek,  business sector (employee and  self-employed)","I","A","sector_e.4","4","NO",1,0,18
"QPCNIA",270,"QPCNIA","Desired level of consumption price","I","A","sector_g.15","4","NO",1,0,25
"QPL",271,"QPL","Desired level of compensation per hour, trending component","I","A","sector_g.13","4","NO",1,0,25
"QPMO",272,"QPMO","Random walk component of non-oil import prices","B","A","sector_g.43","4","NO",1,0,25
"QPXG",273,"QPXG","Desired price level of private output ex. energy, housing, and farm","I","A","sector_g.12","4","NO",1,0,25
"QPXNC",274,"QPXNC","Desired level of nonconsumption price","I","A","sector_g.29","4","NO",1,0,25
"QPXP",275,"QPXP","Desired price level of adjusted final sales","I","A","sector_g.14","4","NO",0,1,25
"QYNIDN",276,"QYNIDN","Desired level of dividends","I","A","sector_f.18","4","NO",1,0,25
"RBBB",277,"RBBB","S&P BBB corporate bond rate","I","A","sector_i.29","1","NO",0,0,3
"RBBBE",278,"RBBBE","S&P BBB corporate bond rate (effective ann. yield)","I","A","sector_i.28","1","NO",0,0,3
"RBBBP",279,"RBBBP","S&P BBB corporate bond rate, risk/term premium","B.4","A","sector_i.27","1","FN",0,0,3
"RCAR",280,"RCAR","New car loan rate at finance companies","B.1","A","sector_i.30","1","FN",0,0,3
"RCCD",281,"RCCD","Cost of capital for consumer durables","I","A","sector_a.14","1","NO",0,0,3
"RCCH",282,"RCCH","Cost of capital for residential investment","I","A","sector_a.15","1","NO",0,0,3
"RCGAIN",283,"RCGAIN","Rate of capital gain on the non-equity portion of household wealth","B.4","A","sector_i.36","1","FN",0,0,3
"REQ",284,"REQ","Real expected rate of return on equity","I","A","sector_i.33","1","NO",0,0,3
"REQP",285,"REQP","Real expected rate of return on equity, premium component","B.4","A","sector_i.32","1","FN",0,0,2
"RFF",286,"RFF","Federal funds rate","I","A","sector_i.13","1","NO",0,0,1
"RFFALT",287,"RFFALT","Value of eff. federal funds rate given by estimated policy rule","B","A","sector_i.4","1","NO",0,0,1
"RFFE",288,"RFFE","Federal funds rate (effective ann. yield)","B","A","sector_i.12","1","NO",0,0,1
"RFFFIX",289,"RFFFIX","Federal funds rate given by fixed, pre-determined funds rate path","X.2","","","1","NO",0,0,1
"RFFGEN",290,"RFFGEN","Value of eff. federal funds rate given by the generalized reaction function","B","","sector_i.5","","NO",0,0,1
"RFFINTAY",291,"RFFINTAY","Value of eff. federal funds rate given by the inertial Taylor rule","B.4","A","sector_i.3","1","NO",0,0,1
"RFFMIN",292,"RFFMIN","Minimum nominal funds rate (set at 0 to impose zero lower bound)","X.2","","","1","NO",0,0,1
"RFFRULE",293,"RFFRULE","Federal funds rate (effective ann. yield)","B","A","sector_i.7","1","NO",0,0,1
"RFFTAY",294,"RFFTAY","Value of eff. federal funds rate given by the Taylor rule with output gap","B.4","A","sector_i.1","1","NO",0,0,1
"RFFTLR",295,"RFFTLR","Value of eff. federal funds rate given by the Taylor rule with unemployment gap","B.4","A","sector_i.2","1","NO",0,0,1
"RFNICT",296,"RFNICT","Residual in FNICN equation","X.2","","","2","NO",0,2,18
"RFRS10",297,"RFRS10","Real foreign short-term interest rate","X.2","","","1","NO",0,0,27
"RFYNIC",298,"RFYNIC","Average yield earned on gross claims of US residents on the rest of the world","B.4","A","sector_c.20","2","FN",0,0,3
"RFYNIL",299,"RFYNIL","Average yield earned on liabilities of US residents on the rest of the world","B.4","A","sector_c.21","2","FN",0,0,3
"RG10",300,"RG10","10-year Treasury bond rate","I","A","sector_i.23","1","NO",0,0,3
"RG10E",301,"RG10E","10-year Treasury bond rate (effective ann. yield)","I","A","sector_i.22","1","NO",0,0,3
"RG10P",302,"RG10P","10-year Treasury bond rate, term premium","B.4","A","sector_i.21","1","FN",0,0,3
"RG30",303,"RG30","30-year Treasury bond rate","I","A","sector_i.26","1","NO",0,0,3
"RG30E",304,"RG30E","30-year Treasury bond rate (effective ann. yield)","I","A","sector_i.25","1","NO",0,0,3
"RG30P",305,"RG30P","30-year Treasury bond rate, term premium","B.4","A","sector_i.24","1","FN",0,0,3
"RG5",306,"RG5","5-year Treasury note rate","I","A","sector_i.20","1","NO",0,0,3
"RG5E",307,"RG5E","5-year Treasury note rate (effective ann. yield)","I","A","sector_i.19","1","NO",0,0,3
"RG5P",308,"RG5P","5-year Treasury note rate. term premium","B.4","A","sector_i.18","1","FN",0,0,3
"RGFINT",309,"RGFINT","Average rate of interest on existing federal debt","B.1","A","sector_i.43","1","GV",0,0,3
"RGW",310,"RGW","Approximate average rate of interest on new federal debt","I","A","sector_i.42","1","NO",0,0,3
"RME",311,"RME","Interest rate on conventional mortgages (effective ann. yield)","B.1","A","sector_i.31","1","FN",0,0,3
"RPD",312,"RPD","After-tax real financial cost of capital for business investment","I","A","sector_b.15","1","NO",0,0,3
"RRFFE",313,"RRFFE","Real federal funds rate (effective ann. yield)","I","A","sector_i.15","1","NO",0,0,1
"RRFIX",314,"RRFIX","Real federal funds rate given by fixed, pre-determined real funds rate path","X.2","","","1","NO",0,0,1
"RRMET",315,"RRMET","Real mortgage rate, trend","B","A","sector_i.44","1","NO",0,0,3
"RRTR",316,"RRTR","Expected long-run real federal funds rate","B","A","sector_z.2","1","NO",0,0,3
"RSPNIA",317,"RSPNIA","Personal saving rate","I.3","A","sector_f.23","1","NO",0,0,28
"RSTAR",318,"RSTAR","Equilibrium real federal funds rate (for monetary policy reaction functions)","B","A","sector_i.6","1","NO",0,0,1
"RTB",319,"RTB","3-month Treasury bill rate","I","A","sector_i.17","1","NO",0,0,3
"RTBE",320,"RTBE","3-month Treasury bill rate (effective ann. yield)","B.1","A","sector_i.16","1","FN",0,0,3
"RTINV",321,"RTINV","User cost of capital for inventories","I","A","sector_b.19","4","NO",0,0,3
"RTPD",322,"RTPD","User cost of capital for equipment","I","A","sector_b.16","4","NO",0,0,3
"RTPI",323,"RTPI","User cost of capital for intellectual property","I","A","sector_b.17","4","NO",0,0,3
"RTPS",324,"RTPS","User cost of capital for nonresidential structures","I","A","sector_b.18","4","NO",0,0,3
"RTR",325,"RTR","Expected federal funds rate in the long run (Blue Chip)","I","A","sector_z.3","1","NO",0,0,3
"T47",326,"T47","Time trend, begins in 1947q1 (0 before)","X.5","","","1","NO",0,0,27
"TAPDAD",327,"TAPDAD","Proportion of investment in equipment using accelerated depreciation","X.2","","","1","NO",0,0,14
"TAPDD",328,"TAPDD","Present value of depreciation allowances for equipment","I","A","sector_b.30","1","NO",0,0,14
"TAPDDP",329,"TAPDDP","Proportion of investment tax credit deducted from depr. base","X.2","","","1","NO",0,0,14
"TAPDS",330,"TAPDS","Tax service life of equipment","X.2","","","1","NO",0,0,14
"TAPDT",331,"TAPDT","Investment tax credit rate for equipment","X.2","","","1","NO",0,0,14
"TAPSAD",332,"TAPSAD","Proportion of investment in nonresidential structures using accelerated depreciation","X.2","","","1","NO",0,0,14
"TAPSDA",333,"TAPSDA","Present value of depreciation allowances for nonresidential structures","I","A","sector_b.29","1","NO",0,0,14
"TAPSSL",334,"TAPSSL","Tax service life of nonresidential structures","X.2","","","1","NO",0,0,14
"TFCIN",335,"TFCIN","Federal corporate income tax accruals, current $","I","A","sector_h.41","4","NO",0,2,14
"TFDIV",336,"TFDIV","Federal income receipts on assets, dividends, current $","X.2","","","4","NO",0,2,14
"TFIBN",337,"TFIBN","Federal indirect business tax receipts, current $","I","A","sector_h.42","4","NO",0,2,14
"TFPN",338,"TFPN","Federal personal income tax and nontax receipts, current $","I","A","sector_h.43","4","NO",0,2,14
"TFSIN",339,"TFSIN","Federal social insurance tax receipts","I","A","sector_h.44","4","NO",0,2,14
"TRFCI",340,"TRFCI","Average federal corporate income tax rate","B.1","A","sector_h.45","1","GV",0,0,14
"TRFCIM",341,"TRFCIM","Marginal federal corporate income tax rate","X.2","","","1","NO",0,0,14
"TRFIB",342,"TRFIB","Average federal indirect business tax rate","X.2","","","1","NO",0,0,14
"TRFP",343,"TRFP","Average federal tax rate for personal income tax and nontax receipts","B.1","A","sector_h.46","1","GV",0,0,14
"TRFPM",344,"TRFPM","Marginal federal personal income tax rate (at twice median family income)","X.2","","","1","NO",0,0,14
"TRFPT",345,"TRFPT","Average federal tax rate for personal income tax, trend","B","A","sector_h.47","1","NO",0,0,14
"TRFPTX",346,"TRFPTX","Average federal tax rate for personal income tax, trend, policy setting","X.2","","","1","NO",0,0,14
"TRFSI",347,"TRFSI","Average federal social insurance tax rate","X.3","","","1","NO",0,0,14
"TRSCI",348,"TRSCI","Average S&L corporate income tax rate","B.4","A","sector_h.48","1","GV",0,0,15
"TRSCIT",349,"TRSCIT","Average S&L corporate income tax rate, trend","X.2","","","1","NO",0,0,15
"TRSIB",350,"TRSIB","Average S&L indirect business tax rate","B.4","A","sector_h.49","1","GV",0,0,15
"TRSIBT",351,"TRSIBT","Average S&L indirect business tax rate, trend","X.2","","","1","NO",0,0,15
"TRSP",352,"TRSP","Average S&L tax rate for personal income tax and nontax receipts","B.4","A","sector_h.50","1","GV",0,0,15
"TRSPP",353,"TRSPP","Marginal S&L tax rate on personal property","X.2","","","1","NO",0,0,15
"TRSPT",354,"TRSPT","Trend S&L personal income tax rate","B.2","A","sector_h.51","1","NO",0,0,15
"TRSPTX",355,"TRSPTX","Average state and local tax rate for personal income, trend","X.2","","","1","NO",0,0,15
"TRSSI",356,"TRSSI","Average S&L social insurance tax rate","B.4","A","sector_h.52","1","GV",0,0,15
"TRSSIT",357,"TRSSIT","Average S&L social insurance tax rate, trend","X.2","","","1","NO",0,0,15
"TRYH",358,"TRYH","Average tax rate on household income","I","A","sector_h.59","1","NO",0,0,14
"TSCIN",359,"TSCIN","S&L corporate income tax accruals, current $","I","A","sector_h.53","4","NO",0,2,15
"TSIBN",360,"TSIBN","S&L indirect business tax receipts, current $","I","A","sector_h.54","4","NO",0,2,15
"TSPN",361,"TSPN","S&L personal income tax and nontax receipts, current $","I","A","sector_h.55","4","NO",0,2,15
"TSSIN",362,"TSSIN","S&L social insurance tax receipts, current $","I","A","sector_h.56","4","NO",0,2,15
"UCES",363,"UCES","Energy share of nominal consumption expenditures","B.1","A","sector_g.40","4","PR",1,0,28
"UCFS",364,"UCFS","Food share of nominal consumption expenditures","B.1","A","sector_g.41","4","PR",1,0,28
"UEMOT",365,"UEMOT","Trend in ratio of EMON to XGDEN","X.3","","","4","NO",0,0,16
"UEMP",366,"UEMP","Multiplicative factor in EMP identity","X.3","","","4","NO",0,0,16
"UFCBR",367,"UFCBR","Multiplicative factor in FCBRN identity","X.3","","","4","NO",0,0,13
"UFNIR",368,"UFNIR","Multiplicative factor in FNIRN identity","X.3","","","2","NO",0,0,13
"UFPCM",369,"UFPCM","Multiplicative factor in FPCM identity","X.2","","","4","NO",0,0,13
"UFPXM",370,"UFPXM","Multiplicative factor in FPXM identity","X.3","","","4","NO",0,0,13
"UFTCIN",371,"UFTCIN","Multiplicative factor in FTCIN identity","X.3","","","4","NO",0,0,13
"UGFDBT",372,"UGFDBT","Multiplicative factor in GFDBTN identity","X.3","","","4","NO",0,0,14
"UGSDBT",373,"UGSDBT","Multiplicative factor in GSDBTN identity","X.3","","","4","NO",0,0,15
"UGSINT",374,"UGSINT","Multiplicative factor in GSINTN identity","X.2","","","1","NO",0,0,15
"UGSSUB",375,"UGSSUB","Multiplicative factor in GSSUB identity","X.3","","","4","NO",0,0,15
"UJCCA",376,"UJCCA","Multiplicative factor in JCCAN identity","X.3","","","4","NO",0,0,21
"UJCCAC",377,"UJCCAC","Multiplicative factor in JCCACN identity","X.3","","","4","NO",0,0,21
"UJYGFE",378,"UJYGFE","Multiplicative factor in JYGFEN identity","X.3","","","4","NO",0,0,14
"UJYGFG",379,"UJYGFG","Multiplicative factor in JYGFGN identity","X.2","","","4","NO",0,0,14
"UJYGSE",380,"UJYGSE","Multiplicative factor in JYGSEN identity","X.3","","","4","NO",0,0,15
"UJYGSG",381,"UJYGSG","Multiplicative factor in JYGSGN identity","X.3","","","4","NO",0,0,15
"ULEF",382,"ULEF","Multiplicative factor in LEF identity","X.3","","","4","NO",0,0,14
"ULES",383,"ULES","Multiplicative factor in LES identity","X.3","","","4","NO",0,0,15
"UPCPI",384,"UPCPI","Multiplicative factor in PCPI identity","X.4","","","4","NO",0,0,22
"UPCPIX",385,"UPCPIX","Multiplicative factor in PCPIX identity","X.4","","","4","NO",0,0,22
"UPGFL",386,"UPGFL","Multiplicative factor in PGFL identity","X.4","","","4","NO",0,0,14
"UPGSL",387,"UPGSL","Multiplicative factor in PGSL identity","X.3","","","4","NO",0,0,15
"UPKPD",388,"UPKPD","Multiplicative factor in PKPDR identity","X.3","","","4","NO",0,0,22
"UPMP",389,"UPMP","Multiplicative factor in PMP identity","X.3","","","4","NO",0,0,17
"UPXB",390,"UPXB","Multiplicative factor in PXB   identity","X.4","","","4","NO",0,0,27
"UQPCT",391,"UQPCT","Stochastic component of trend ratio of PCNIA to PXP","B","A","sector_g.30","4","NO",1,0,22
"UVEOA",392,"UVEOA","Multiplicative factor in VEOA identity","X.4","","","4","NO",0,0,16
"UVPD",393,"UVPD","Multiplicative factor in VPD identity","X.2","","","4","NO",0,0,27
"UVPI",394,"UVPI","Multiplicative factor in VPI identity","X.2","","","4","NO",0,0,27
"UVPS",395,"UVPS","Multiplicative factor in VPS identity","X.2","","","4","NO",0,0,27
"UXBT",396,"UXBT","Stochastic component of trend ratio of XGDPT to XBT","B","A","sector_d.18","4","NO",0,0,18
"UXENG",397,"UXENG","Multiplicative factor in XENG identity","X.3","","","4","NO",0,0,16
"UYD",398,"UYD","Multiplicative factor in YDN identity","X.3","","","4","NO",0,0,23
"UYHI",399,"UYHI","Multiplicative factor in YHIN identity","X.3","","","4","NO",0,0,23
"UYHLN",400,"UYHLN","Multiplicative factor in YHLN identity","X.3","","","4","NO",0,0,23
"UYHPTN",401,"UYHPTN","Multiplicative factor in YHPTN identity","X.3","","","4","NO",0,0,23
"UYHSN",402,"UYHSN","Multiplicative factor in personal saving identity (accounts for transfers to foreigners)","X.2","","","4","NO",0,0,23
"UYHTN",403,"UYHTN","Multiplicative factor in YHTN identity","X.3","","","4","NO",0,0,23
"UYL",404,"UYL","Multiplicative factor in YLN identity","X.4","","","4","NO",0,0,23
"UYNI",405,"UYNI","Multiplicative factor in YNIN identity","X.3","","","4","NO",0,0,23
"UYNICP",406,"UYNICP","Multiplicative factor in YNICPN identity","X.2","","","4","NO",0,0,23
"UYP",407,"UYP","Multiplicative factor in YPN identity","X.3","","","4","NO",0,0,23
"UYSEN",408,"UYSEN","Multiplicative factor in YSEN identity","X.3","","","4","NO",0,0,23
"VEO",409,"VEO","Desired energy-output ratio","I","A","sector_d.13","4","NO",1,0,16
"VEOA",410,"VEOA","Average energy-output ratio of existing capital stock","B","A","sector_d.14","4","NO",0,0,16
"VPD",411,"VPD","Desired equipment-output ratio","B","A","sector_b.20","4","NO",1,0,7
"VPI",412,"VPI","Desired intellectual property-output ratio","B","A","sector_b.21","4","NO",1,0,7
"VPS",413,"VPS","Desired structures-output ratio","B","A","sector_b.22","4","NO",1,0,7
"WDNFCN",414,"WDNFCN","Net financial liabilities, nonfinancial nonfarm corporations","B.4","A","sector_f.45","4","IN",1,0,5
"WPO",415,"WPO","Household property wealth ex. stock market, real","I","A","sector_i.40","4","NO",0,3,5
"WPON",416,"WPON","Household property wealth ex. stock market, current $","I","A","sector_i.38","4","NO",0,2,5
"WPS",417,"WPS","Household stock market wealth, real","I","A","sector_i.35","4","NO",0,3,5
"WPSN",418,"WPSN","Household stock market wealth, current $","I","A","sector_i.34","4","NO",1,0,5
"XB",419,"XB","Business output (BEA definition), cw 2009$","I","A","sector_d.8","4","NO",1,0,11
"XBN",420,"XBN","Business output (BEA definition), current $","I","A","sector_f.5","4","NO",0,2,24
"XBO",421,"XBO","Business output, adjusted for measurement error, cw  2009$","I","A","sector_d.6","4","NO",1,0,11
"XBT",422,"XBT","Potential business output, cw 2009$","I","A","sector_d.16","4","NO",1,0,18
"XENG",423,"XENG","Crude energy production, cw 2009$","I","A","sector_d.26","4","NO",0,3,16
"XFS",424,"XFS","Final sales of gross domestic product, cw 2009$","I","A","sector_d.1","4","NO",1,0,11
"XFSN",425,"XFSN","Final sales of gross domestic product, current $","I","A","sector_f.3","4","NO",0,2,24
"XG",426,"XG","Output of  business sector plus oil imports, cw 2009$","I","A","sector_d.9","4","NO",1,0,11
"XGAP",427,"XGAP","Output gap for  business plus oil imports  (100*log(actual/potential)","I","A","sector_d.20","1","NO",0,0,19
"XGAP2",428,"XGAP2","Output gap for GDP (100*log(actual/potential)","I","A","sector_d.21","1","NO",0,0,19
"XGDE",429,"XGDE","Domestic absorption, cw 2009$","I","A","sector_d.4","4","NO",0,0,28
"XGDEN",430,"XGDEN","Nominal Absorption, current $","I","A","sector_f.4","1","NO",0,0,24
"XGDI",431,"XGDI","Gross domestic income, cw 2009$","I","A","sector_d.27","4","NO",0,3,11
"XGDIN",432,"XGDIN","Gross domestic income, current $","I","A","sector_f.46","4","NO",0,2,24
"XGDO",433,"XGDO","Gross domestic product, adjusted for measurement error, cw 2009$","I","A","sector_d.28","4","NO",0,3,11
"XGDP",434,"XGDP","GDP, cw 2009$","I","A","sector_d.2","4","NO",0,3,11
"XGDPN",435,"XGDPN","GDP, current $","I","A","sector_f.2","4","NO",0,2,24
"XGDPT",436,"XGDPT","Potential GDP, cw 2009$","I","A","sector_d.17","4","NO",1,0,18
"XGDPTN",437,"XGDPTN","Potential GDP, current $","I","A","sector_d.25","4","NO",0,1,18
"XGN",438,"XGN","Output of  business sector plus oil imports, current $","I","A","sector_f.6","4","NO",0,2,24
"XGO",439,"XGO","Output of business sector plus oil imports, adjusted for measurement error, cw 2009$","I","A","sector_d.5","4","NO",1,0,11
"XGPOT",440,"XGPOT","Potential output of  business sector plus oil imports,  cw 2009$","B","A","sector_d.10","4","NO",1,0,18
"XP",441,"XP","Final sales plus imports less government labor, cw 2009$","I","A","sector_d.7","4","NO",1,0,11
"XPN",442,"XPN","Final sales plus imports less government labor, current $","I","A","sector_f.1","4","NO",0,2,24
"YCSN",443,"YCSN","Net corporate cash flow with IVA and CCA","B","A","sector_f.24","4","NO",0,2,23
"YDN",444,"YDN","Disposable income","I","A","sector_f.22","4","NO",0,2,23
"YGFSN",445,"YGFSN","Federal government saving","I","A","sector_h.57","2","NO",0,2,23
"YGSSN",446,"YGSSN","State and Local government saving","I","A","sector_h.58","2","NO",0,2,23
"YH",447,"YH","Income, household, total (real after-tax)","I","A","sector_f.28","4","NO",0,3,23
"YHGAP",448,"YHGAP","Income, household, total, ratio to XGDP, cyclical component (real after-tax)","I","A","sector_f.29","1","NO",0,0,23
"YHIBN",449,"YHIBN","Consumer interest payments to business","B.4","A","sector_f.30","4","IN",1,0,23
"YHIN",450,"YHIN","Income, household, net interest and rent","I","A","sector_f.31","4","NO",0,2,23
"YHL",451,"YHL","Income, household, labor compensation (real after-tax)","I","A","sector_f.32","4","NO",0,3,23
"YHLN",452,"YHLN","Income, household, labor compensation","I","A","sector_f.33","4","NO",0,2,23
"YHP",453,"YHP","Income, household, property (real after-tax)","I","A","sector_f.34","4","NO",0,3,23
"YHPCD",454,"YHPCD","Imputed income of the stock of consumer durables, 2009$","B","A","sector_a.18","4","NO",1,0,23
"YHPGAP",455,"YHPGAP","Income, household, property, ratio to YH, cyclical component (real after-tax)","I","A","sector_f.35","1","NO",0,0,23
"YHPNTN",456,"YHPNTN","Income, household, property, non-taxable component","I","A","sector_f.36","2","NO",0,2,23
"YHPSHR",457,"YHPSHR","Income, household, property, ratio to YH (real after-tax)","I","A","sector_f.37","4","NO",0,0,23
"YHPTN",458,"YHPTN","Income, household, property, taxable component","I","A","sector_f.38","4","NO",0,2,23
"YHSHR",459,"YHSHR","Income, household, total, ratio to XGDP (real after-tax)","I","A","sector_f.39","4","NO",0,0,23
"YHSN",460,"YHSN","Personal saving","I","A","sector_f.40","4","NO",0,2,23
"YHT",461,"YHT","Income, household, transfer (real after-tax), net basis","I","A","sector_f.41","4","NO",0,3,23
"YHTGAP",462,"YHTGAP","Income, household, transfer, ratio to YH, cyclical component (real after-tax)","I","A","sector_f.42","1","NO",0,0,23
"YHTN",463,"YHTN","Income, household, transfer payments. net basis","I","A","sector_f.43","4","NO",0,2,23
"YHTSHR",464,"YHTSHR","Income, household, transfer, ratio to YH (real after-tax)","I","A","sector_f.44","4","NO",0,0,23
"YKIN",465,"YKIN","Income from stock of inventories","I","A","sector_f.25","4","NO",0,2,23
"YKPDN",466,"YKPDN","Income from stock of equipment","I","A","sector_f.26","4","NO",0,2,23
"YKPSN",467,"YKPSN","Income from stock of nonresidential structures","I","A","sector_f.27","4","NO",0,2,23
"YMSDN",468,"YMSDN","Microsoft one-time dividend payout in 2004Q4","X.7","","","1","NO",0,0,23
"YNICPN",469,"YNICPN","Corporate profits (national income component)","I","A","sector_f.20","4","NO",0,2,23
"YNIDN",470,"YNIDN","Dividends (national income component)","B.4","A","sector_f.19","4","IN",1,0,23
"YNIIN",471,"YNIIN","Net interest and rental income (national income component)","B.4","A","sector_f.17","4","IN",7,0,23
"YNILN",472,"YNILN","Labor income (national income component)","I","A","sector_f.15","4","NO",0,2,23
"YNIN",473,"YNIN","National income","I","A","sector_f.14","4","NO",0,2,23
"YNISEN",474,"YNISEN","Propprietors' income (national income component)","I","A","sector_f.16","4","NO",0,2,23
"YPN",475,"YPN","Personal income","I","A","sector_f.21","4","NO",0,2,23
"ZDIVGR",476,"ZDIVGR","Expected growth rate of real dividends, for WPSN eq. (VAR exp.)","I","A","sector_z.29","1","NO",0,0,2
"ZECD",477,"ZECD","Expected growth rate of target durable consumption, for ECD eq. (VAR exp.)","I","A","sector_z.19","1","NO",0,0,26
"ZECO",478,"ZECO","Expected growth rate of target nondurables and nonhousing services, for ECO eq (VAR exp.)","I","A","sector_z.18","1","NO",0,0,26
"ZEH",479,"ZEH","Expected growth rate of target residential investment, for EH eq. (VAR exp.)","I","A","sector_z.21","1","NO",0,0,26
"ZGAP05",480,"ZGAP05","Expected output gap, for RG5E eq. (VAR exp.)","I","A","sector_z.7","1","NO",0,0,26
"ZGAP10",481,"ZGAP10","Expected output gap, for RG10E eq. (VAR exp.)","I","A","sector_z.8","1","NO",0,0,26
"ZGAP30",482,"ZGAP30","Expected output gap, for RG30E eq. (VAR exp.)","I","A","sector_z.9","1","NO",0,0,26
"ZGAPC2",483,"ZGAPC2","Expected output gap, for ECD eq. (VAR exp.)","I","A","sector_z.20","1","NO",0,0,26
"ZLHP",484,"ZLHP","Expected growth rate of target aggregate hours (VAR exp.)","I","A","sector_z.22","1","NO",0,0,26
"ZPI10",485,"ZPI10","Expected cons. price infl., for RCCH, RRMET, and YHPNTN eqs. (10-yr mat.) (VAR exp.)","I","A","sector_z.12","1","NO",0,0,26
"ZPI10F",486,"ZPI10F","Expected cons. price infl., for FPXR eq. (10-yr mat.) (VAR exp.)","I","A","sector_z.13","1","NO",0,0,26
"ZPI5",487,"ZPI5","Expected cons. price infl., for RCCD eq. (5-yr mat.) (VAR exp.)","I","A","sector_z.10","1","NO",0,0,26
"ZPIB5",488,"ZPIB5","Expected output price infl., for RPD eq. (5-yr mat.) (VAR exp.)","I","A","sector_z.11","1","NO",0,0,26
"ZPIC30",489,"ZPIC30","Expected cons. price infl., for REQ eq. (30-yr mat.) (VAR exp.)","I","A","sector_z.14","1","NO",0,0,26
"ZPIC58",490,"ZPIC58","Expected 4-qtr consumer price inflation (8 qtrs. in the future) (VAR exp.)","I","A","sector_z.15","1","NO",0,0,26
"ZPICXFE",491,"ZPICXFE","Expected value of picxfe in the next quarter (VAR exp.)","I","A","sector_z.16","1","NO",0,0,26
"ZPIECI",492,"ZPIECI","Expected value of pieci in the next quarter (VAR exp.)","I","A","sector_z.17","1","NO",0,0,26
"ZRFF10",493,"ZRFF10","Expected federal funds rate, for RG10E eq. (10-yr mat.) (VAR exp.)","I","A","sector_z.5","1","NO",0,0,26
"ZRFF30",494,"ZRFF30","Expected federal funds rate, for RG30E eq. (30-yr mat.) (VAR exp.)","I","A","sector_z.6","1","NO",0,0,26
"ZRFF5",495,"ZRFF5","Expected federal funds rate, for RG5E eq. (5-yr mat.) (VAR exp.)","I","A","sector_z.4","1","NO",0,0,26
"ZVPD",496,"ZVPD","Expected growth rate of capital-output ratio, for EPD (VAR exp.)","I","A","sector_z.23","1","NO",0,0,26
"ZVPI",497,"ZVPI","Expected growth rate of capital-output ratio, for EPI (VAR exp.)","I","A","sector_z.24","1","NO",0,0,26
"ZVPS",498,"ZVPS","Expected growth rate of des. capital-output ratio, for EPS eq. (VAR exp.)","I","A","sector_z.25","1","NO",0,0,26
"ZXBD",499,"ZXBD","Expected growth rate of buisiness output for EPD (VAR exp.)","I","A","sector_z.26","1","NO",0,0,26
"ZXBI",500,"ZXBI","Expected growth rate of business output, for EPI (VAR exp.)","I","A","sector_z.27","1","NO",0,0,26
"ZXBS",501,"ZXBS","Expected growth rate of business output, for EPS (VAR exp.)","I","A","sector_z.28","1","NO",0,0,26
"ZYH",502,"ZYH","Expected level of real after-tax household income, for QEC eq. (VAR exp.)","I","A","sector_z.31","4","NO",0,3,26
"ZYHP",503,"ZYHP","Expected level of real after-tax property income, for QEC eq. (VAR exp.)","I","A","sector_z.32","4","NO",0,3,26
"ZYHPST",504,"ZYHPST","Expected trend share of property income in household income","B.7","A","sector_z.35","4","NO",0,0,26
"ZYHST",505,"ZYHST","Expected trend ratio of household income to GDP","B.7","A","sector_z.34","4","NO",0,0,26
"ZYHT",506,"ZYHT","Expected level of real transfer income, for QEC eq. (VAR exp.)","I","A","sector_z.33","4","NO",0,3,26
"ZYHTST",507,"ZYHTST","Expected trend share of transfer income in household income","B.7","A","sector_z.36","4","NO",0,0,26
"ZYNID",508,"ZYNID","Expected rate of growth of target real dividends, for YNIDN eq. (VAR exp.)","I","A","sector_z.30","1","NO",0,0,26
